NOME_PRODUTO,URL,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Linguiça calabresa 1kg,https://www.perdigao.com.br/produtos/food-service/linguicas/linguica-calabresa-1kg,100,0,0,0,0,0,0,0,0
"Linguiça calabresa reta 2,5kg",https://www.perdigao.com.br/produtos/food-service/linguicas/linguica-calabresa-reta-25kg,100,0,0,0,0,0,0,0,0
linguiça de pernil 5kg,https://www.perdigao.com.br/produtos/food-service/linguicas/linguica-de-pernil-5kg,100,0,0,0,0,0,0,0,0
"Paio 2,5kg",https://www.perdigao.com.br/produtos/food-service/linguicas/paio-25kg,100,162,0,0,0,0,0,0,0
"Linguiça calabresa 4,5kg",https://www.perdigao.com.br/produtos/food-service/linguicas/linguica-calabresa-45kg,100,160,0,0,0,0,0,0,0
Mortadela frango 3.5 kg,https://www.perdigao.com.br/produtos/food-service/frios/mortadela-frango-35-kg,40,0,0,0,0,0,0,0,0
Bacon em cubos food service,https://www.perdigao.com.br/produtos/food-service/cortes-suinos/bacon-em-cubos-food-service,100,417,0,0,0,0,0,0,0
Coração de frango food service,https://www.perdigao.com.br/produtos/food-service/cortes-de-frango/coracao-de-frango-food-service,100,125,0,0,0,0,0,0,0
Filezinho sassami food service,https://www.perdigao.com.br/produtos/food-service/cortes-de-frango/filezinho-sassami-food-service,100,126,0,0,0,0,0,0,0
Filezinho sassami temperado food service,https://www.perdigao.com.br/produtos/food-service/cortes-de-frango/filezinho-sassami-temperado-food-service,100,124,0,0,0,0,0,0,0
Iscas coxa e sobrecoxa food service,https://www.perdigao.com.br/produtos/food-service/cortes-de-frango/iscas-coxa-e-sobrecoxa-food-service,100,124,0,0,0,0,0,0,0
Linguiça de pernil na brasa 5 kg,https://www.perdigao.com.br/produtos/food-service/todos-itens-de-food-service/linguica-de-pernil-na-brasa-5-kg,100,111,0,0,0,0,0,0,0
Linguiça de frango na brasa 5 kg,https://www.perdigao.com.br/produtos/food-service/todos-itens-de-food-service/linguica-de-frango-na-brasa-5-kg,100,182,0,0,0,0,0,0,0
"Pernil Suíno Temperado sem Osso 2,5kg a 2,8kg",https://www.perdigao.com.br/produtos/comemorativos/pernil/pernil-suino-temperado-sem-osso-25kg-a-28kg,100,215,0.6,15,17,6.3,0,0.1,460
Chester® Assa Fácil,https://www.perdigao.com.br/produtos/comemorativos/chester/chester-assa-facil,100,156,0.4,18,9.2,3.2,0,0.3,557
Chester® Azeite e Ervas,https://www.perdigao.com.br/produtos/comemorativos/chester/chester-azeite-e-ervas,100,121,0.3,17,5.8,2.2,0,0.2,688
Chester® Tradicional,https://www.perdigao.com.br/produtos/comemorativos/chester/chester-tradicional,100,124,0.3,17,6.1,3.3,0,0.3,591
Chester® Desossado,https://www.perdigao.com.br/produtos/comemorativos/chester/chester-desossado,100,124,0.3,17,6.1,3.3,0,0.3,591
Peito de Chester® Na Brasa,https://www.perdigao.com.br/produtos/comemorativos/chester/peito-de-chester-na-brasa,100,97,0.3,21,1.5,0.9,0,0.3,420
Coxa e Sobrecoxa Chester® Na Brasa,https://www.perdigao.com.br/produtos/comemorativos/chester/coxa-e-sobrecoxa-chester-na-brasa,100,176,0.3,15,13,5.6,0,0.3,271
Torta Chester® com Calabresa e Molho Cheddar,https://www.perdigao.com.br/produtos/comemorativos/chester/torta-chester-com-calabresa-e-molho-cheddar,100,274,16,9.7,19,5.3,0,2.6,427
Peito de Chester® com Molho de Laranja,https://www.perdigao.com.br/produtos/comemorativos/chester/peito-de-chester-com-molho-de-laranja,100,98,0,21,1.5,0.9,0,0,420
Chester® ao Molho Pesto Assa Fácil,https://www.perdigao.com.br/produtos/comemorativos/chester/chester-ao-molho-pesto-assa-facil,100,122,0,17,6,2.4,0,0,733
Peito de Chester® Cozido Desfiado com Sabor Defumado,https://www.perdigao.com.br/produtos/comemorativos/chester/peito-de-chester-cozido-desfiado-com-sabor-defumado,100,111,0,22,2.6,0.9,0,0,550
Linguiça de Chester® Na Brasa,https://www.perdigao.com.br/produtos/comemorativos/chester/linguica-de-chester-na-brasa,100,121,0,6.5,11,3.1,0,0,436
Tender Suíno Bolinha Perdigão 1kg,https://www.perdigao.com.br/produtos/comemorativos/tender/tender-suino-bolinha-perdigao-1kg,40,48,0.2,8.4,1.5,0.5,0,0.2,464
Peru,https://www.perdigao.com.br/produtos/comemorativos/peru/peru,100,97,0.3,20,1.7,0.6,0,0.3,479
Lombo Suíno Temperado,https://www.perdigao.com.br/produtos/comemorativos/lombo/lombo-suino-temperado,100,111,0.6,18,4.1,1.7,0,0.1,550
Frango Defumado,https://www.perdigao.com.br/produtos/comemorativos/frango/frango-defumado,100,139,0.7,12,10,9,0,0.7,2470
Asa de peru,https://www.perdigao.com.br/produtos/peru/cortes-de-todos-os-perus/asa-de-peru,60,125,0,0,0,0,0,0,0
Coração de peru,https://www.perdigao.com.br/produtos/peru/cortes-de-todos-os-perus/coracao-de-peru,85,126,0,0,0,0,0,0,0
Coxa de peru,https://www.perdigao.com.br/produtos/peru/cortes-de-todos-os-perus/coxa-de-peru,100,0,0,0,0,0,0,0,0
Sambiquira de Peru,https://www.perdigao.com.br/produtos/peru/cortes-de-todos-os-perus/sambiquira-de-peru,100,0,0,0,0,0,0,0,0
Pescoço de peru,https://www.perdigao.com.br/produtos/peru/cortes-de-todos-os-perus/pescoco-de-peru,76,125,0,0,0,0,0,0,0
